NE,tDate,jobId,sItem,iValue
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd15.max,92
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd9.max,89
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd18.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd4.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd32.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd27.max,76
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd30.max,116
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd14.max,93
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd5.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd4.max,107
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd9.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd4.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd17.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd18.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd20.max,99
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd18.max,90
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd13.max,93
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd20.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd16.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd1.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd27.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd28.max,110
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd7.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd12.max,87
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd28.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd19.max,91
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd19.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd21.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd24.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd23.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd22.max,107
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd12.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd10.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd23.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd20.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd25.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd34.min,-2
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd33.max,-2
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd2.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd8.max,88
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd23.max,97
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd1.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd28.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd14.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd22.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd12.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd2.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd15.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd8.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd21.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd21.max,94
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd31.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd24.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd15.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd25.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd2.max,107
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd29.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd10.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd3.max,87
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd6.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd29.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd3.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd30.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd26.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd11.max,86
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd25.max,80
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd17.max,90
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd29.max,93
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd14.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd13.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd13.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd24.max,95
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd34.max,-2
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd6.max,116
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd31.max,96
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd16.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd33.min,-2
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd26.max,101
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd26.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd6.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd33.actual,-2
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd1.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd7.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd32.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd11.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd5.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd34.actual,-2
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd9.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd7.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd19.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd16.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd27.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd5.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd3.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd11.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd10.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd31.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd17.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd22.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd30.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd32.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd8.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd15.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd9.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd18.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd4.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd32.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd27.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd30.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd14.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd5.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd4.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd9.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd4.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd17.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd18.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd20.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd18.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd13.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd20.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd16.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd1.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd27.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd28.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd7.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd12.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd28.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd19.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd19.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd21.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd24.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd23.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd22.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd12.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd10.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd23.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd20.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd25.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd34.min,-2
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd33.max,0
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd2.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd8.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd23.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd1.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd28.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd14.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd22.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd12.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd2.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd15.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd8.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd21.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd21.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd31.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd24.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd15.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd25.actual,11
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd2.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd29.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd10.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd3.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd6.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd29.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd3.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd30.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd26.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd11.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd25.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd17.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd29.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd14.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd13.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd13.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd24.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd34.max,0
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd6.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd31.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd16.min,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd33.min,-2
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd26.max,13
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd26.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd6.actual,10
CUDB03,2015-09-08 00:30:00,LdapFrontEnds,ldapTpsAtFrontEnd33.actual,-2
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd1.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd7.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd32.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd11.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd5.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd34.actual,-2
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd9.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd7.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd19.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd16.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd27.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd5.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd3.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd11.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd10.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd31.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd17.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd22.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd30.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd32.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd8.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd15.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd9.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd18.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd4.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd32.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd27.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd30.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd14.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd5.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd4.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd9.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd4.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd17.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd18.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd20.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd18.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd13.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd20.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd16.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd1.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd27.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd28.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd7.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd12.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd28.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd19.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd19.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd21.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd24.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd23.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd22.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd12.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd10.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd23.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd20.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd25.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd34.min,-2
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd33.max,-2
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd2.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd8.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd23.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd1.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd28.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd14.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd22.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd12.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd2.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd15.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd8.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd21.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd21.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd31.min,10
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd24.min,11
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd15.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd25.actual,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd2.max,13
CUDB03,2015-09-08 00:45:09,LdapFrontEnds,ldapTpsAtFrontEnd29.min,10
