Network failure,Counter A,Counter B,
0,19830,19413,
0,30689,28682,
1,22321,20725,
1,592,551,
0,31055,29891,
0,45124,43736,
1,47204,44032,
0,36793,34413,
1,17426,16054,
1,39794,36415,
0,1346,1319,
0,38467,37496,
0,33437,32346,
0,31993,31563,
1,9584,8859,
0,48450,47451,
0,16463,15586,
1,9394,8505,
0,22796,22700,
0,14261,13939,
1,9781,8863,
0,16085,15525,
0,49398,46243,
1,24563,22133,
0,31452,30580,
1,30626,28169,
1,15381,14155,
1,42593,38422,
0,36362,34591,
0,41952,40919,
1,18926,17060,
0,48931,45743,
0,46956,46731,
1,21760,20039,
0,9756,9635,
0,26436,26185,
1,32386,29915,
0,12885,12130,
1,20553,19153,
0,18480,17330,
0,21009,20028,
1,36881,34094,
0,14787,14045,
1,30314,27305,
0,11894,11582,
0,38808,36457,
1,39672,36359,
1,48410,43707,
0,39160,37464,
0,40567,40373,
1,28695,26385,
1,5854,5424,
1,45601,41519,
0,30081,29346,
1,34477,31632,
0,32594,31660,
1,34745,31712,
0,35988,35206,
1,6465,5894,
1,23031,21482,
0,13287,13018,
0,34549,33551,
0,32415,31671,
1,2775,2554,
1,47239,44030,
0,3719,3676,
0,30767,30580,
0,27402,26301,
0,30193,28885,
1,22257,20215,
1,32353,29422,
0,29176,27364,
1,30016,27751,
1,9169,8562,
0,1109,1109,
1,33604,30525,
0,40568,40422,
0,42766,41530,
0,6017,5675,
0,9084,8662,
1,2416,2189,
1,41972,37871,
0,3039,3033,
0,40570,39505,
0,2572,2432,
1,21410,19515,
1,33216,30791,
0,6528,6207,
1,19439,17977,
0,13694,13631,
1,29397,26741,
1,1449,1343,
0,10109,9705,
1,31656,29339,
1,15009,13929,
0,2258,2118,
1,18401,16870,
1,32559,30217,
0,16528,16343,
0,20890,19750,
0,44092,42840,
1,8070,7540,
0,13621,12867,
1,31022,28168,
1,11815,10780,
0,25017,23949,
1,37637,35170,
1,21825,19745,
0,3225,3215,
0,43477,41944,
1,15774,14608,
1,1695,1567,
0,37680,35877,
1,21621,19645,
1,23423,21357,
0,10469,9866,
1,16584,15271,
0,44831,42963,
0,43022,42587,
1,2538,2345,
1,15879,14729,
0,1775,1673,
0,42599,40443,
1,44779,40979,
0,28339,27395,
0,34109,33295,
1,13962,12853,
0,11104,11015,
0,34246,33888,
0,42624,42203,
1,49049,45790,
0,6021,5832,
0,13339,12639,
0,12517,12384,
1,6392,5926,
0,45015,43720,
0,24965,24644,
1,3328,3080,
